TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd01,Rsvd02,Rsvd03,Rsvd04
2024-02-05,2024-02-05,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,4480.10,4538.00,4345.00,4368.15,4368.15,4482.35,,4368.20,,,10112,44811730.00,2397,F1,1,,,,,
2024-02-05,2024-02-05,CM,BSE,STK,500003,INE208C01025,AEGISLOG,A,,,,,AEGIS LOGISTICS LTD.,376.05,398.00,374.85,395.20,397.80,374.20,,395.85,,,44341,17210588.00,1551,F1,1,,,,,
2024-02-05,2024-02-05,CM,BSE,STK,500008,INE885A01032,ARE&M,A,,,,,Amara Raja Energy & Mobility L,909.60,922.00,886.55,890.25,892.00,892.00,,890.75,,,43636,39400424.00,2161,F1,1,,,,,
2024-02-05,2024-02-05,CM,BSE,STK,500009,INE432A01017,AMBALALSA,X,,,,,AMBALAL SARABHAI ENTERPRISES L,60.50,62.00,59.16,60.37,60.37,59.04,,60.37,,,471588,28437481.00,1203,F1,1,,,,,
2024-02-05,2024-02-05,CM,BSE,STK,500012,INE714B01016,ANDHRAPET,X,,,,,ANDHRA PETROCHEMICALS LTD.,109.00,111.00,106.10,106.70,106.70,106.50,,106.70,,,388588,42267478.00,1942,F1,1,,,,,
2024-02-05,2024-02-05,CM,BSE,STK,500013,INE436A01026,ANSALAPI,Z,,,,,ANSAL PROPERTIES & INFRASTRUCT,11.08,11.16,11.08,11.16,11.16,10.63,,11.19,,,7411,82690.00,17,F1,1,,,,,
2024-02-05,2024-02-05,CM,BSE,STK,500014,INE096A01010,UTIQUE,X,,,,,UTIQUE ENTERPRISES LIMITED,9.09,9.45,8.88,9.28,9.28,8.79,,9.28,,,260591,2398218.00,787,F1,1,,,,,
2024-02-05,2024-02-05,CM,BSE,STK,500016,INE957C01019,ARUNAHTEL,XT,,,,,ARUNA HOTELS LTD.,20.29,20.29,19.00,19.99,19.99,19.90,,19.99,,,26102,516034.00,95,F1,1,,,,,
2024-02-05,2024-02-05,CM,BSE,STK,500020,INE032A01023,BOMDYEING,A,,,,,BOMBAY DYEING & MFG.CO.LTD.,180.25,187.50,178.55,182.45,182.45,180.35,,181.80,,,293119,53819599.00,5852,F1,1,,,,,
2024-02-05,2024-02-05,CM,BSE,STK,500023,INE363A01022,ASIANHOTNR,T,,,,,ASIAN HOTELS (NORTH) LIMITED,181.80,185.00,177.10,178.05,178.00,181.80,,178.55,,,1394,253617.00,33,F1,1,,,,,
