DATE|SCRIP CODE|DELIVERY QTY|DELIVERY VAL|DAY'S VOLUME|DAY'S TURNOVER|DELV. PER.
05022024|500002|000003833|0000000016743119|000010112|0000000044811730|037.91
05022024|500003|000015543|0000000006142594|000044341|0000000017210588|035.05
05022024|500008|000021405|0000000019055802|000043636|0000000039400424|049.05
05022024|500009|000390410|0000000023569052|000471588|0000000028437481|082.79
05022024|500012|000309680|0000000033042856|000388588|0000000042267478|079.69
05022024|500013|000007411|0000000000082690|000007411|0000000000082690|100.00
05022024|500014|000205683|0000000001908739|000260591|0000000002398218|078.93
05022024|500016|000026102|0000000000516034|000026102|0000000000516034|100.00
05022024|500020|000157436|0000000028724199|000293119|0000000053819599|053.71
05022024|500023|000001394|0000000000253617|000001394|0000000000253617|100.00
05022024|500027|000000379|0000000002382167|000000777|0000000004943469|048.78
05022024|500028|000072477|0000000001631186|000072477|0000000001631186|100.00
05022024|500031|000002332|0000000002477401|000006063|0000000006444552|038.46
05022024|500032|006775908|0000000227873787|014161422|0000000473734399|047.85
05022024|500033|000040696|0000000165447554|000078536|0000000319682527|051.82
05022024|500034|000042886|0000000283300628|000085563|0000000574732693|050.12
05022024|500038|000154841|0000000061580266|000301502|0000000120094191|051.36
05022024|500039|000007197|0000000004808676|000116111|0000000082392031|006.20
05022024|500040|000004053|0000000005999454|000010404|0000000015637761|038.96
05022024|500041|000000222|0000000000527173|000000348|0000000000826810|063.79
05022024|500042|000001816|0000000005741194|000002339|0000000007248259|077.64
05022024|500043|000009348|0000000013379793|000022541|0000000032654731|041.47
05022024|500048|000012699|0000000047285997|000032905|0000000123038415|038.59
05022024|500049|000333184|0000000060356282|000824098|0000000151193674|040.43
05022024|500052|000064669|0000000006812880|000122349|0000000012955665|052.86
05022024|500058|000796001|0000000016671103|000796001|0000000016671103|100.00
05022024|500059|000004530|0000000000077338|000004530|0000000000077338|100.00
05022024|500060|000034698|0000000009692887|000047917|0000000013500755|072.41
05022024|500067|000002481|0000000002877340|000011956|0000000014074799|020.75
05022024|500068|000000110|0000000001664999|000000141|0000000002157688|078.01
05022024|500069|000000749|0000000000264285|000000910|0000000000322196|082.31
05022024|500074|000055225|0000000006516550|000070911|0000000008384952|077.88
05022024|500078|000003339|0000000001260640|000004090|0000000001548779|081.64
05022024|500083|000153042|0000000004062103|000153042|0000000004062103|100.00
05022024|500084|000142686|0000000020325621|000605386|0000000085175422|023.57
05022024|500085|000082384|0000000028620202|000162621|0000000057533857|050.66
05022024|500086|000050641|0000000017564831|000172662|0000000060088874|029.33
05022024|500087|000014716|0000000021094651|000046868|0000000066967846|031.40
05022024|500089|000000852|0000000000412454|000001131|0000000000562563|075.33
05022024|500092|000000953|0000000003983016|000002352|0000000009751882|040.52
05022024|500093|000020624|0000000009072498|000059105|0000000026166765|034.89
05022024|500096|000014380|0000000007672449|000028018|0000000015085566|051.32
05022024|500097|000004250|0000000001741650|000008004|0000000003285086|053.10
05022024|500101|000025528|0000000007959631|000050099|0000000015691042|050.96
05022024|500103|000354467|0000000083406086|001727772|0000000409328815|020.52
05022024|500104|000230533|0000000117214504|000904327|0000000457774636|025.49
05022024|500106|006620043|0000000411634274|012697869|0000000793434496|052.14
05022024|500108|000874894|0000000043237262|002314626|0000000111296751|037.80
05022024|500109|000310032|0000000061014298|001108551|0000000221490940|027.97
05022024|500110|000014723|0000000013727726|000092360|0000000086494086|015.94
05022024|500111|000428328|0000000005458464|000428328|0000000005458464|100.00
05022024|500112|000967550|0000000622231405|002104792|0000001360402454|045.97
05022024|500113|003908756|0000000528463812|008538512|0000001148305218|045.78
05022024|500114|000024361|0000000086544889|000052148|0000000187053498|046.72
05022024|500116|002516872|0000000234673146|009578038|0000000906591316|026.28
05022024|500117|000392890|0000000027125126|001981901|0000000138699387|019.82
05022024|500119|000008067|0000000002104681|000028198|0000000007389373|028.61
05022024|500120|000002574|0000000001248777|000003948|0000000001935865|065.20
05022024|500123|000000243|0000000001913905|000000345|0000000002715748|070.43
05022024|500124|000002679|0000000016319933|000008082|0000000049304924|033.15
05022024|500125|000690492|0000000448785276|000722680|0000000462720419|095.55
05022024|500126|000000498|0000000002558973|000001047|0000000005403366|047.56
05022024|500128|000198413|0000000037569502|000384728|0000000072788871|051.57
05022024|500133|000000216|0000000001163085|000000354|0000000001930641|061.02
05022024|500135|000050155|0000000009614714|000088296|0000000016961386|056.80
05022024|500136|000025576|0000000002395704|000031940|0000000003035951|080.08
05022024|500142|000006974|0000000000049865|000007871|0000000000056524|088.60
05022024|500143|000001216|0000000000176624|000001216|0000000000176624|100.00
05022024|500144|000001304|0000000001407147|000003293|0000000003553387|039.60
05022024|500147|000002997|0000000010367523|000004840|0000000016796440|061.92
05022024|500148|000002532|0000000001151174|000003985|0000000001820569|063.54
05022024|500150|000000216|0000000000777752|000000242|0000000000884386|089.26
05022024|500151|000015122|0000000000853965|000015122|0000000000853965|100.00
05022024|500153|000154348|0000000031649058|000336000|0000000069304538|045.94
05022024|500159|000005118|0000000000701678|000007007|0000000000965772|073.04
05022024|500160|000534835|0000000009347287|000534835|0000000009347287|100.00
05022024|500163|000001248|0000000003021159|000003932|0000000009837894|031.74
05022024|500164|000002024|0000000001779501|000006671|0000000005803182|030.34
05022024|500165|000012512|0000000004302877|000031950|0000000011048138|039.16
05022024|500166|000007972|0000000001618715|000008819|0000000001808617|090.40
05022024|500168|000039681|0000000053611016|000061853|0000000083790594|064.15
05022024|500170|000037698|0000000001723283|000037698|0000000001723283|100.00
05022024|500171|000016606|0000000008855150|000045671|0000000024906290|036.36
05022024|500173|000032753|0000000003021792|000070001|0000000006717639|046.79
05022024|500174|000015380|0000000000118137|000015380|0000000000118137|100.00
05022024|500179|000112752|0000000002485311|000112752|0000000002485311|100.00
05022024|500180|000454602|0000000656945351|001278419|0000001843855264|035.56
05022024|500182|000002877|0000000013647913|000007960|0000000037785105|036.14
05022024|500183|000547498|0000000053791679|001451472|0000000145039215|037.72
05022024|500184|000046931|0000000017230414|000046931|0000000017230414|100.00
05022024|500185|003851423|0000000167074730|008600974|0000000388462431|044.78
05022024|500186|000078052|0000000014068873|000174775|0000000032046924|044.66
05022024|500187|000002634|0000000002081782|000008349|0000000006689692|031.55
05022024|500188|000026484|0000000008372917|000059553|0000000018817413|044.47
05022024|500189|000002004|0000000000235470|000002360|0000000000275595|084.92
05022024|500191|000040005|0000000002839365|000040005|0000000002839365|100.00
05022024|500192|000183620|0000000000804557|000183620|0000000000804557|100.00
05022024|500193|000061885|0000000002194443|000137244|0000000004870338|045.09
05022024|500199|000002287|0000000001150133|000003110|0000000001562604|073.54
05022024|500201|000011583|0000000010487249|000032085|0000000029937283|036.10
05022024|500202|000005339|0000000000053495|000005339|0000000000053495|100.00
05022024|500206|000003595|0000000000172417|000004795|0000000000229820|074.97
05022024|500207|000071523|0000000004324281|000091721|0000000005648435|077.98
05022024|500209|000104182|0000000175728989|000148469|0000000251202780|070.17
