DATE|SCRIP CODE|DELIVERY QTY|DELIVERY VAL|DAY'S VOLUME|DAY'S TURNOVER|DELV. PER.
01012024|590065|000000304|0000000000311646|000000377|0000000000380791|080.64
01012024|590066|000017046|0000000002582469|000034271|0000000005235536|049.74
01012024|590068|000001661|0000000000099926|000001716|0000000000103144|096.79
01012024|590070|000058354|0000000000109706|000087302|0000000000170798|066.84
01012024|590071|000000296|0000000001033988|000000927|0000000003275039|031.93
01012024|590072|000000134|0000000000089211|000000156|0000000000104947|085.90
01012024|590073|000001638|0000000001123832|000002040|0000000001414923|080.29
01012024|590075|000001774|0000000000280470|000004068|0000000000646229|043.61
01012024|590078|000004773|0000000005732612|000009644|0000000011647871|049.49
01012024|590086|000001744|0000000012735386|000004977|0000000036227040|035.04
01012024|590095|000502941|0000000027017991|000808927|0000000043472757|062.17
01012024|590096|000254072|0000000254072000|000540229|0000000540228204|047.03
01012024|590097|000016298|0000000000879767|000017103|0000000000923091|095.29
01012024|590098|000074443|0000000004116698|000087554|0000000004841005|085.03
01012024|590099|000054796|0000000002926655|000059122|0000000003158454|092.68
01012024|590101|000020734|0000000001119222|000021304|0000000001150318|097.32
01012024|590103|000438565|0000000105281914|000614460|0000000146988409|071.37
01012024|590104|000004081|0000000002317315|000006985|0000000003951307|058.43
01012024|590106|000004027|0000000001979875|000007294|0000000003594449|055.21
01012024|590107|000001225|0000000000701840|000001247|0000000000712375|098.24
01012024|590108|000015754|0000000001007626|000030791|0000000001970579|051.16
01012024|590109|000000596|0000000000294323|000000717|0000000000351884|083.12
01012024|590110|000000106|0000000000246210|000000202|0000000000469302|052.48
01012024|590113|000002867|0000000000722685|000003201|0000000000806738|089.57
01012024|590115|000000244|0000000000053985|000000291|0000000000064298|083.85
01012024|590134|000047163|0000000005437894|000238798|0000000027750444|019.75
01012024|590136|000000062|0000000000030600|000011751|0000000005806261|000.53
01012024|590137|000000972|0000000000473909|000001040|0000000000508457|093.46
01012024|590138|000028670|0000000006498056|000045881|0000000010405127|062.49
01012024|717504|000000063|0000000000005954|000000063|0000000000005937|100.00
01012024|717505|000000529|0000000000005581|000001041|0000000000010998|050.82
01012024|750814|000075941|0000000000587879|000075941|0000000000587879|100.00
01012024|750815|000377667|0000000009258781|000377667|0000000009258781|100.00
01012024|800252|000000001|0000000000006350|000000001|0000000000006350|100.00
01012024|800254|000000031|0000000000196075|000000031|0000000000195235|100.00
01012024|800259|000000011|0000000000068266|000000011|0000000000068210|100.00
01012024|800270|000000002|0000000000012876|000000002|0000000000012876|100.00
01012024|800276|000000025|0000000000159975|000000025|0000000000159828|100.00
01012024|800277|000000001|0000000000006290|000000003|0000000000018839|033.33
01012024|800288|000000036|0000000000226800|000000036|0000000000236054|100.00
01012024|800292|000000011|0000000000070268|000000011|0000000000070267|100.00
01012024|800297|000000002|0000000000012780|000000002|0000000000012789|100.00
01012024|800302|000000001|0000000000006370|000000001|0000000000006369|100.00
01012024|800315|000000010|0000000000062500|000000010|0000000000062750|100.00
01012024|800318|000000004|0000000000025600|000000004|0000000000025585|100.00
01012024|800322|000000003|0000000000018720|000000003|0000000000018720|100.00
01012024|800324|000000009|0000000000056116|000000009|0000000000056120|100.00
01012024|800325|000000076|0000000000477850|000000082|0000000000513484|092.68
01012024|800327|000000078|0000000000489062|000000111|0000000000695583|070.27
