Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,01012025,782413376,0002609
Trade Date <01-JAN-2025>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1003IIFL29,NC,151,151,100.00
20,2,1003ISFL28,N4,291,291,100.00
20,3,1003SFIL28,NX,10,10,100.00
20,4,1015ECL29,NR,268,254,94.78
20,5,1015SCL29T,N1,250,250,100.00
20,6,1018GS2026,GS,10,10,100.00
20,7,1025SCL34A,ZT,2,2,100.00
20,8,1025SCL34Z,N1,10,10,100.00
20,9,1030SFIL28,NM,136,78,57.35
20,10,1035UCL26,NA,41,41,100.00
20,11,1050ISFL28,N5,40,40,100.00
20,12,1050NFL26,N7,428,428,100.00
20,13,1050UCL25,N7,10,10,100.00
20,14,105UCL2026,NB,28,28,100.00
20,15,1060ECL29,NS,410,410,100.00
20,16,1065NFL27,NC,1207,1207,100.00
20,17,1075UCL25,N9,3,3,100.00
20,18,10IIFL28,N4,200,200,100.00
20,19,10IIFL28A,NE,124,124,100.00
20,20,10IIFL29,N6,114,114,100.00
20,21,10ISFL26,N3,80,80,100.00
20,22,10NFL25,N9,1,1,100.00
20,23,10NIDO26,N6,205,205,100.00
20,24,182D040425,TB,400,400,100.00
20,25,182D100425,TB,100,100,100.00
20,26,182D140225,TB,500,500,100.00
20,27,360ONE,EQ,227346,84765,37.28
20,28,364D020525,TB,3400,2400,70.59
20,29,364D031025,TB,100,100,100.00
20,30,364D150525,TB,1300,1300,100.00
20,31,364D180425,TB,200,200,100.00
20,32,364D180725,TB,100,100,100.00
20,33,364D200225,TB,1000,1000,100.00
20,34,364D230525,TB,5000,5000,100.00
20,35,3IINFOLTD,EQ,10225354,2883749,28.20
20,36,3MINDIA,EQ,2341,945,40.37
20,37,515GS2025,GS,100,100,100.00
20,38,574GS2026,GS,20,20,100.00
20,39,5PAISA,EQ,39769,17326,43.57
20,40,610GS2031,GS,2000,2000,100.00
20,41,63MOONS,EQ,309165,155321,50.24
20,42,667GS2035,GS,600,600,100.00
20,43,667GS2050,GS,2,2,100.00
20,44,676GS2061,GS,466,466,100.00
20,45,689GS2025,GS,1000,1000,100.00
20,46,695GS2061,GS,3233,3110,96.20
20,47,699GS2026,GS,999,999,100.00
20,48,699GS2051,GS,3,3,100.00
20,49,702GS2027,GS,2451,2350,95.88
20,50,706GS2028,GS,25000,25000,100.00
20,51,709GS2054,GS,1,1,100.00
20,52,710GS2029,GS,2681,2681,100.00
20,53,716GS2050,GS,25,25,100.00
20,54,717GS2030,GS,1005,1005,100.00
20,55,718GS2033,GS,3947,3945,99.95
20,56,718GS2037,GS,400,400,100.00
20,57,719GS2060,GS,80,80,100.00
20,58,71GS2034,GS,1000,1000,100.00
20,59,723GJ27,SG,1000,1000,100.00
20,60,725GS2063,GS,57608,57598,99.98
20,61,726GS2032,GS,1,1,100.00
20,62,729NHAI26,NC,110,110,100.00
20,63,732GS2030,GS,5100,3100,60.78
20,64,732IRFC25,NI,10,10,100.00
20,65,733GS2026,GS,200,200,100.00
20,66,734GS2064,GS,6417,6417,100.00
20,67,734IRFC28,N4,2,1,50.00
20,68,736GS2052,GS,2150,2150,100.00
20,69,736NTPC25D,NB,88,78,88.64
20,70,736PFCL28,N2,300,300,100.00
20,71,737GS2028,GS,14346,9340,65.11
20,72,738GS2027,GS,114589,114589,100.00
20,73,739NHAI26,N8,19,19,100.00
20,74,73GS2053,GS,1500,1500,100.00
20,75,741GS2036,GS,1,1,100.00
20,76,74GS2035,GS,51,51,100.00
20,77,753IRFC30,NJ,825,725,87.88
20,78,753NTPC30E,NC,1,1,100.00
20,79,754GS2036,GS,559467,443267,79.23
20,80,762NTPC35F,ND,30,30,100.00
20,81,764HUDCO31,N8,92,91,98.91
20,82,764IRFC31,NO,1367,858,62.77
20,83,764NABAR31,N2,470,460,97.87
20,84,769HUDCO31,N9,266,266,100.00
20,85,769NHAI31,NE,809,742,91.72
20,86,76IGT26,ND,5,5,100.00
20,87,76NHAI31,NA,1325,850,64.15
20,88,79NHIT40,N2,60,60,100.00
20,89,79NHIT47,N3,656,650,99.09
20,90,810IRFC27,N2,900,900,100.00
20,91,81TCHF28,N8,8,8,100.00
20,92,824GS2027,GS,4,4,100.00
20,93,82HUDCO27,N2,2018,1690,83.75
20,94,82IGT31,NJ,215,215,100.00
20,95,830NHAI27,N2,50,50,100.00
20,96,830PFCL27,N5,30,30,100.00
20,97,840CIFCL28,N4,380,200,52.63
20,98,842IIFL26,NL,50,50,100.00
20,99,849NTPC25,N7,163318,80069,49.03
20,100,84CIFCL28,NA,45,45,100.00
20,101,84TCHF28,NA,48,48,100.00
20,102,850CIFCL26,NE,280,260,92.86
20,103,85LTF26,NM,102,102,100.00
20,104,862REC33,NA,3,3,100.00
20,105,865IFL28,NZ,1359,1359,100.00
