Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,05022024,2874361421,0002392
Trade Date <05-FEB-2024>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1018GS2026,GS,2,0,0.00
20,2,182D060624,TB,200100,200100,100.00
20,3,182D070324,TB,100,100,100.00
20,4,182D090524,TB,100,100,100.00
20,5,182D110424,TB,500,500,100.00
20,6,182D110724,TB,800,800,100.00
20,7,182D130624,TB,200,200,100.00
20,8,182D180724,TB,700,700,100.00
20,9,182D200624,TB,300,300,100.00
20,10,182D220224,TB,1000,1000,100.00
20,11,182D230524,TB,300,300,100.00
20,12,182D250424,TB,100,100,100.00
20,13,182D250724,TB,200,200,100.00
20,14,182D270624,TB,2300,2300,100.00
20,15,182D290224,TB,100,100,100.00
20,16,182D300524,TB,11000,11000,100.00
20,17,20MICRONS,EQ,118150,72096,61.02
20,18,360ONE,EQ,381313,254128,66.65
20,19,364D020125,TB,100,100,100.00
20,20,364D020524,TB,14600,14600,100.00
20,21,364D040724,TB,75100,75100,100.00
20,22,364D060624,TB,4000,4000,100.00
20,23,364D071124,TB,25000,25000,100.00
20,24,364D121224,TB,200,200,100.00
20,25,364D160524,TB,26200,26200,100.00
20,26,364D200624,TB,900,900,100.00
20,27,364D220224,TB,29900,29900,100.00
20,28,364D220324,TB,5700,5700,100.00
20,29,364D230125,TB,100,100,100.00
20,30,364D300125,TB,400,400,100.00
20,31,3IINFOLTD,EQ,1970706,867038,44.00
20,32,3MINDIA,EQ,6870,4017,58.47
20,33,515GS2025,GS,1,1,100.00
20,34,563GS2026,GS,20139,20114,99.88
20,35,574GS2026,GS,1148,1063,92.60
20,36,577GS2030,GS,300,300,100.00
20,37,579GS2030,GS,710,709,99.86
20,38,585GS2030,GS,99,99,100.00
20,39,5PAISA,EQ,69144,32375,46.82
20,40,618GS2024,GS,48,48,100.00
20,41,619GS2034,GS,210,210,100.00
20,42,654GS2032,GS,1,1,100.00
20,43,663TN35,SG,100,100,100.00
20,44,667GS2050,GS,1451,1451,100.00
20,45,669GS2024,GS,4610,4610,100.00
20,46,676GS2061,GS,664,664,100.00
20,47,689GS2025,GS,3,3,100.00
20,48,68GS2060,GS,4,4,100.00
20,49,695GS2061,GS,96,96,100.00
