,traddt,isin,fininstrmid,fininstrmid_b,tckrsymb,tckrsymb_b,sctysrs,sctysrs_b,src,src_b,fininstrmnm,opnpric,hghpric,lwpric,clspric,lastpric,prvsclsgpric,sttlmpric,ttltradgvol,ttltrfval,ttlnboftxsexctd,qty_del,delvry_trnovr,ttltradgvol_b,ttltrfval_b,ttlnboftxsexctd_b,qty_del_b,delvry_trnovr_b,sum_ttltradgvol,sum_ttltrfval,sum_ttlnboftxsexctd,sum_del_qty,sum_delvry_trnovr,del_per,avg_price,avg_qty_per_order,avg_order_price,close_to_avg,close_avg_perc,othr_trds,othr_trds_vol,othr_trds_val,othr_trds_txsexctd
0,2024-01-01,IN909EO01012,,890180,,AARTIPP,,B,,BSE,Aarti Surfactants Limited,437.5,437.5,400.1,410.2,401.0,420.5,408.65,,,,,,149.0,61905.0,39.0,129.0,52916.0,149.0,61905.0,39.0,129.0,52916.0,86.58,415.47,3.82,1587.1,5.27,1.28,,,,
1,2024-01-01,IN9155A01020,16965,570001,TATAMTRDVR,TATAMTRDVR,EQ,A,NSE,BSE,TATA MOTORS DVR  A  ORD,521.8,531.9,519.7,525.95,526.6,519.3,525.95,1087850.0,573579636.0,22208.0,393036.0,207232105.36,199898.0,105381608.0,4658.0,75559.0,39710033.0,1287748.0,678961244.0,26866.0,468595.0,246942138.36,36.39,527.25,47.93,25271.09,1.3,0.25,,,,
2,2024-01-01,IN9175A01010,25684,570004,JISLDVREQS,JISLDVREQS,EQ,B,NSE,BSE,JAIN DVR EQUITY SHARES,32.9,34.15,32.9,33.4,33.45,32.95,33.4,16556.0,554303.25,251.0,13268.0,444219.35,3256.0,109209.0,92.0,2660.0,89084.0,19812.0,663512.25,343.0,15928.0,533303.35,80.4,33.49,57.76,1934.38,0.09,0.27,,,,
3,2024-01-01,IN9397D01014,,890157,,AIRTELPP,,A,,BSE,Bharti Airtel  Ltd.,641.95,641.95,607.3,617.65,617.75,638.2,620.85,,,,,,8676.0,5364655.0,565.0,4816.0,2974603.0,8676.0,5364655.0,565.0,4816.0,2974603.0,55.51,618.33,15.36,9497.55,0.68,0.11,,,,
4,2024-01-01,IN9414Y01013,,890181,,SGRLPP,,B,,BSE,Shree Ganesh Remedies Limited,606.0,606.0,600.0,600.05,600.05,600.8,600.05,,,,,,21.0,12660.0,4.0,21.0,12602.0,21.0,12660.0,4.0,21.0,12602.0,100.0,602.86,5.25,3165.02,2.81,0.47,,,,
5,2024-01-01,IN9623B01058,17006,570002,FELDVR,FELDVR,BE,T,NSE,BSE,FUTURE ENTERPRISES LTD,5.05,5.3,5.05,5.25,5.25,5.3,5.25,124100.0,639303.0,253.0,124100.0,639303.0,4063.0,23776.0,16.0,4063.0,23776.0,128163.0,663079.0,269.0,128163.0,663079.0,100.0,5.17,476.44,2463.19,-0.08,-1.52,,,,
6,2024-01-01,IN9898S01019,,890168,,AURUMPP,,B,,BSE,Aurum PropTech Limited,66.0,69.42,65.0,65.0,65.0,66.07,65.95,,,,,,6056.0,401256.0,68.0,3180.0,206700.0,6056.0,401256.0,68.0,3180.0,206700.0,52.51,66.26,89.06,5901.12,1.26,1.94,,,,
7,2024-01-01,INE001B01026,10577,530813,KRBL,KRBL,EQ,A,NSE,BSE,KRBL LIMITED,376.5,380.9,375.1,376.75,376.5,375.1,376.75,492945.0,186453945.6,15127.0,244571.0,92507740.07,15030.0,5678012.0,644.0,6949.0,2612824.0,507975.0,192131957.6,15771.0,251520.0,95120564.07,49.51,378.23,32.21,12182.79,1.48,0.39,,,,
8,2024-01-01,INE001E01012,,530331,,PREMCO,,X,,BSE,PREMCO GLOBAL LTD.,414.0,418.8,412.0,416.75,414.05,414.05,416.75,,,,,,2302.0,954150.0,76.0,1926.0,802661.0,2302.0,954150.0,76.0,1926.0,802661.0,83.67,414.49,30.29,12554.9,-2.26,-0.54,,,,
9,2024-01-01,INE001F01019,,513303,,MDRNSTL,,XT,,BSE,MODERN STEELS LTD.,25.4,25.97,24.61,25.6,25.6,25.09,25.6,,,,,,11106.0,280981.0,135.0,11106.0,280981.0,11106.0,280981.0,135.0,11106.0,280981.0,100.0,25.3,82.27,2081.43,-0.3,-1.17,,,,
10,2024-01-01,INE001O01029,,530251,,RISAINTL,,XT,,BSE,RISA INTERNATIONAL LTD.,0.82,0.86,0.78,0.86,0.86,0.82,0.86,,,,,,716287.0,599502.0,605.0,716287.0,599502.0,716287.0,599502.0,605.0,716287.0,599502.0,100.0,0.84,1183.95,994.52,-0.02,-2.33,,,,
